data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5548513,368,IRQ20656,20656,"03 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Qadissiya,Shamiya,,Shamiya,31.9626,44.6008,1,Yaqein,National,"On July 3, tens of Shamiya residents came out in Shamiya city in Qadissiyah province to protest in front of the Electricity Department demanding the improvement of electricity, which is damaging their agriculture as they rely on electricity to operate the watering pumps. [size=tens]",0,1562633994,IRQ
5548522,368,IRQ20665,20665,"03 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Al Mirbad",National,"On July 3, dozens of members of the Nassiriya electricity power station cut the road linking Thi-Qar with Muthanna province in a demonstration organized to protest the central government's intention to invest in a station by a Lebanese company. [size=dozens]",0,1562633994,IRQ
5548511,368,IRQ20654,20654,"02 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Muthanna,"As Samawah",,"As Samawah",31.3059,45.2799,1,"Al Mirbad",National,"On July 2, tens of Muthanna residents protested in the central Samawah city, demanding a better power supply and the dismissal of all officials working in the department of electricity. [size=tens]",0,1562633994,IRQ
5548508,368,IRQ20651,20651,"01 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Students (Iraq); Kurdish Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Sulaymaniyah,Sulaymaniyah,,Sulaymaniyah,35.565,45.4329,1,"NRT News",National,"On July 1, a number of top university graduates protested against unemployment in Sulaymaniyah city, the students who participated are the top students of their universities and institutes, and they said they would take other measures including launching a nation-wide strike if the government did not do more to address this issue which affects all segments of the region's youth. [size=not reported]",0,1562633994,IRQ
5548509,368,IRQ20652,20652,"01 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Kurdish Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Sulaymaniyah,Rania,,Rania,36.2551,44.8824,1,"NRT News",National,"On July 1, protesters gathered at Ranya Grand Mosque before marching to the city's public park to protest deadly Turkish airstrikes that killed six civilians last week in the Kurdistan Region. [size=not reported]",0,1562633994,IRQ
5564171,368,IRQ20632,20632,"30 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)",,5,"Police Forces of Iraq (2018-)",,1,15,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Shafaaq News; Al Sumaria TV",National,"On June 30, dozens of Iraqis rallied outside the Thi-Qar provincial council headquarters in Nassiriyah city and burnt car tires; they called for improved services and better power supply as temperatures are rising. They clashed with riot police who tried to disperse the demonstration, but no casualties or injuries were reported. [size=dozens]",0,1563305272,IRQ
5548493,368,IRQ20636,20636,"30 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,3,"National Iraqi News Agency",National,"On June 30, dozens of people protested in the province of Basra demanding jobs and the improvement of services amid tight security, the protest was organized by the local government in Basra. [size=dozens]",0,1562633994,IRQ
5544213,368,IRQ20599,20599,"29 June 2019",2019,1,Protests,"Protest with intervention","Protesters (Iraq)","Labour Group (Iraq)",6,"Police Forces of Iraq (2018-)",,1,16,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"National Iraqi News Agency",National,"On June 29, a number of citizens protested in Basra renewing their demand to provide jobs for young people and improve services near the square of Abdul Karim Qasim in central Basra, and a number of protesters were injured by police forces as they were heading towards the home of the governor. [size=not reported]",0,1562020013,IRQ
5544214,368,IRQ20600,20600,"28 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"National Iraqi News Agency",National,"On June 29, hundreds of people protested in central Basra and gathered near the house of the provincial council head Sabah al-Bezouni, demanding services and employment. [size=hundreds]",0,1562020013,IRQ
5544203,368,IRQ20589,20589,"27 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)",,5,,,0,50,"Middle East",Iraq,Baghdad,Mansour,,"Baghdad - Mansour",33.3158,44.3515,1,"Al Mirbad",National,"On June 27, angry demonstrations took place starting near the Bahraini embassy in Baghdad (Mansour) in protest of the Manama summit which Iraqi boycotted, and the rejection of the so-called 'Deal of the Century' and the normalization of Arab-Israeli relations. The demonstrations developed into raiding the embassy and climbing atop it to remove the Bahraini flag and replacing it with the Palestinian one. The security forces then cut off all roads leading to the embassy. [size=not reported]",0,1562020013,IRQ
